,AP,PN,PD,PR,CCI,CCA,TI,PD_dt64
179,EP20110752849 20110311,EP2547150 A1 20130116,2013-01-16,CN201010124871 20100312; WO2011CN71740 20110311,H04W76/12,,"(A1 A4 B1)
METHOD, SYSTEM AND APPARATUS FOR SELECTING DATA PLANE TUNNEL ACCORDING TO THE STATUS OF USER EQUIPMENT",2013-01-16
180,CN20111090670 20110412,CN102158566 A 20110817,2011-08-17,CN20111090670 20110412,,,Method and device for accessing network,2011-08-17
181,WO2011KR00199 20110112,WO2011090290 A2 20110728,2011-07-28,CN20101003382 20100119,H04W36/0055,,"(A2 A3)
METHOD FOR DATA FORWARDING",2011-07-28
182,CN20101003382 20100119,CN102131251 A 20110720,2011-07-20,CN20101003382 20100119,H04W36/0055,,Method for data forwarding,2011-07-20
183,US20100685651 20100111,US2011171953 A1 20110714,2011-07-14,US20100685651 20100111,H04W48/08,H04W76/10; H04W76/12; H04W80/04; H04W84/045,"(A1)
SYSTEM AND METHOD FOR ENABLING DISCOVERY OF LOCAL SERVICE AVAILABILITY IN LOCAL CELLULAR COVERAGE
(B2)
System and method for enabling discovery of local service availability in local cellular coverage",2011-07-14
184,US20100685662 20100111,US2011170517 A1 20110714,2011-07-14,US20100685662 20100111,H04W36/0033,H04W36/0027; H04W36/12; H04W36/125; H04W36/385; H04W48/08; H04W76/22; H04W84/045,"(A1)
SYSTEM AND METHOD FOR ENABLING SESSION CONTEXT CONTINUITY OF LOCAL SERVICE AVAILABILITY IN LOCAL CELLULAR COVERAGE
(B2)
System and method for enabling session context continuity of local service availability in local cellular coverage",2011-07-14
185,US20110987644 20110110,US2011170469 A1 20110714,2011-07-14,US20110987644 20110110; US20100293423P 20100108; US20100304199P 20100212,H04W48/17,H04W4/06; H04W48/08; H04W48/16; H04W68/00; H04W76/16,"(A1)
METHOD AND APPARATUS FOR SELECTED INTERNET PROTOCOL TRAFFIC OFFLOAD
(B2)
Method and apparatus for selected internet protocol traffic offload",2011-07-14
186,WO2010CN79098 20101124,WO2011079667 A1 20110707,2011-07-07,CN200910266004 20091228,H04W36/0011,,LOCAL INTERNET PROTOCOL (IP) ACCESS OR SELECTED INTERNET PROTOCOL TRAFFIC OFFLOAD ESTABLISHMENT METHOD AND SYSTEM,2011-07-07
187,WO2011US40992 20110617,WO2011160091 A1 20111222,2011-12-22,US201113161416 20110615; US201161435389P 20110124; US20100355918P 20100617,H04W8/082; H04W48/08; H04W76/10,,"MANAGING PACKET DATA NETWORK, PDN CONNECTIVITY",2011-12-22
188,WO2010CN79514 20101207,WO2011076063 A1 20110630,2011-06-30,CN200910261266 20091224,H04W36/0011,H04W36/12; H04W40/34,"METHOD, DEVICE, AND SYSTEM FOR MANAGING LOCAL INTERNET PROTOCOL ACCESS OR SELECTED INTERNET PROTOCOL TRAFFIC OFFLOAD",2011-06-30
189,CN201010142934 20100407,CN102111825 A 20110629,2011-06-29,CN201010142934 20100407,,,"Method, system and device for distinguishing Direct Tunnel",2011-06-29
190,CN201010124871 20100312,CN102088771 A 20110608,2011-06-08,CN201010124871 20100312,H04W76/12,,"(A B)
Method, system and device for selecting data surface path according to UE (User Equipment) status",2011-06-08
191,WO2011US32148 20110412,WO2011130294 A2 20111020,2011-10-20,US201113080479 20110405; US20100371135P 20100805; US20100323777P 20100413,H04W76/10,H04W8/082,"(A2 A3)
METHOD AND APPARATUS FOR MANAGING LOCAL INTERNET PROTOCOL OFFLOAD",2011-10-20
192,CN200910110715 20090928,CN102036216 A 20110427,2011-04-27,CN200910110715 20090928,H04W8/082,H04W84/045,"(A B)
Control method, device and system for local internet protocol (IP) access or selected IP traffic offload",2011-04-27
193,WO2010CN77340 20100927,WO2011035732 A1 20110331,2011-03-31,CN200910110715 20090928,H04W8/082,H04W84/045,"CONTROL METHOD, DEVICE AND SYSTEM FOR LOCAL IP ACCESS OR SELECTED IP TRAFFIC OFFLOAD",2011-03-31
194,WO2010JP66215 20100917,WO2011034175 A1 20110324,2011-03-24,JP20090217755 20090918; JP20090256493 20091109,H04W8/082; H04W76/22,H04W80/04,COMMUNICATION SYSTEM AND COMMUNICATION CONTROL METHOD,2011-03-24
195,WO2010JP66211 20100917,WO2011034173 A1 20110324,2011-03-24,JP20090217757 20090918,H04W36/00; H04W36/0033; H04W36/32; H04W76/20; H04W76/22,H04W36/12,COMMUNICATION SYSTEM AND COMMUNICATION CONTROL METHOD,2011-03-24
196,EP20100817288 20100917,EP2466950 A1 20120620,2012-06-20,JP20090217755 20090918; JP20090256493 20091109; WO2010JP66215 20100917,H04W8/082; H04W76/22,H04W80/04,"(A1 A4)
COMMUNICATION SYSTEM AND COMMUNICATION CONTROL METHOD",2012-06-20
197,EP20100817286 20100917,EP2442611 A1 20120418,2012-04-18,JP20090217757 20090918; WO2010JP66211 20100917,H04W36/00; H04W36/0033; H04W36/32; H04W76/20; H04W76/22,H04W36/12,"(A1 A4)
COMMUNICATION SYSTEM AND COMMUNICATION CONTROL METHOD",2012-04-18
198,WO2011US20844 20110111,WO2011085373 A2 20110714,2011-07-14,US20100685662 20100111,H04W36/0033,H04W36/0027; H04W36/12; H04W36/125; H04W36/385; H04W48/08; H04W76/22; H04W84/045,"(A2 A3)
SYSTEM AND METHOD FOR ENABLING SESSION CONTEXT CONTINUITY OF LOCAL SERVICE AVAILABILITY IN LOCAL CELLULAR COVERAGE",2011-07-14
199,WO2011EP00548 20110207,WO2011095358 A1 20110811,2011-08-11,EP20100001210 20100205,H04W36/08,H04W8/082; H04W36/0033; H04W36/22,A METHOD FOR ROUTING TRAFFIC WITHIN A NETWORK AND A NETWORK,2011-08-11
0,WO2011US20838 20110111,WO2011085370 A2 20110714,2011-07-14,US20100685651 20100111,H04W48/08,H04W76/10; H04W76/12; H04W80/04; H04W84/045,"(A2 A3 A4)
SYSTEM AND METHOD FOR ENABLING DISCOVERY OF LOCAL SERVICE AVAILABILITY IN LOCAL CELLULAR COVERAGE",2011-07-14
1,WO2011US20637 20110110,WO2011085290 A1 20110714,2011-07-14,US20100293423P 20100108; US20100304199P 20100212,H04W48/17,H04W4/06; H04W48/08; H04W48/16; H04W68/00; H04W76/16,METHOD AND APPARATUS FOR BROADCASTING SUPPORT OF SELECTED INTERNET PROTOCOL TRAFFIC OFFLOAD,2011-07-14
2,WO2010US58940 20101203,WO2011069092 A1 20110609,2011-06-09,US20100322245P 20100408; US20090266726P 20091204; US20100349531P 20100528; US20100299738P 20100129,H04L63/30; H04W8/082; H04W12/001,H04W76/12; H04W84/045; H04W88/06; H04W92/22,EXTENDED LOCAL IP ACCESS FOR A CONVERGED GATEWAY IN A HYBRID NETWORK,2011-06-09
3,EP20100751896 20100824,EP2609779 A1 20130703,2013-07-03,WO2010EP62347 20100824,H04W68/00,H04W84/045; H04W92/02,"(A1 B1)
NETWORK DEVICES AND METHOD FOR SUPPORTING DOWNLINK PAGING FOR LIPA OR SIPTO",2013-07-03
4,WO2010EP62347 20100824,WO2012025149 A1 20120301,2012-03-01,WO2010EP62347 20100824,H04W68/00,H04W84/045; H04W92/02,NETWORK DEVICES AND METHOD FOR SUPPORTING DOWNLINK PAGING FOR LIPA OR SIPTO,2012-03-01
